P45985	Q14315
Q04771	P49354
P23769	P29590
P05067	Q92624
P07333	P62993
P08588	O14908
P38398	P18846
P61457	Q13936
P49810	P07384
Q99816	P38936
P33992	P49736
Q13416	P49736
Q9UBU7	P49736
P49736	P49736
P25205	P49736
P63104	P30304
P61296	P07199
Q00610	O14964
P15336	P84022
P23284	P49069
P21291	P21291
P41240	P06213
Q99075	Q05516
Q92547	Q02880
Q86UP2	P29692
P01137	P49354
P21333	P05556
P11362	O43559
P18507	O95166
P31947	P04150
P35557	O60825
P49795	P04899
P53667	Q02297
P48634	P46092
Q07021	P48634
P48634	Q9UNL2
Q16891	P48634
Q13099	P48634
P54257	P42858
Q14814	P27348
P08069	P35568
Q05397	P35568
P06213	P35568
O60674	O15524
P02545	P36956
Q9NQC3	P10415
Q86WV1	P08575
P09917	Q14019
P15498	P12956
P67809	Q13242
Q6VMQ6	Q9UIS9
O75030	P63279
P46821	P39687
P33993	Q13415
P33993	Q9UBU7
P33993	P27694
P33993	Q14192
Q03164	Q9UNP9
Q03164	O75807
P20929	Q86TC9
Q9H4G0	Q14980
P41279	P19838
P46087	Q96EZ8
P14921	Q9UER7
P15036	Q15131
Q9UPX8	Q14247
P07333	O15524
Q92990	P08581
P15498	Q15910
O43924	P61586
P52306	P61586
Q9UGL1	P55771
O60229	P19021
Q96F24	Q07869
Q92569	P42336
P02647	P54750
Q15036	P16109
P98161	Q13563
P22459	Q12959
P35080	Q9Y613
O15530	Q05513
Q8IYI6	P11233
P15927	Q13416
Q96F24	P19793
P16157	Q02094
P17542	P25791
O95985	P14678
Q5T2W1	P48764
Q13285	P48552
P10909	P37173
P62942	P36897
P10599	Q15080
O15273	Q8WZ42
Q03701	P25208
P37275	Q92993
P04629	P00519
P04637	Q9NZC7
P35968	P98077
Q16832	P29353
P56199	O00499
P40337	P61758
P40337	Q6IE81
P18887	Q96T60
Q9UP83	O15553
P10275	P21333
P51610	Q06546
P50052	Q9ULD2
P23246	Q15233
Q99966	Q13485
Q86TC9	Q08043
P41134	O14936
P98164	Q92796
Q6ZN44	Q9Y5V3
P56545	O95600
Q9BZI7	Q6DKK2
Q9H4D5	O14980
Q99741	Q9Y5P8
Q99963	Q96B97
Q9Y4J8	P11532
O60828	Q9Y2W2
Q06787	Q9UHK0
P26038	Q92574
Q92834	Q96KN7
P10275	P62826
P10275	P78317
Q15303	Q13425
Q07817	Q12983
Q07817	Q16799
Q07817	Q9NQC3
Q07812	Q16548
O95477	Q13158
P98164	Q96QZ7
P98164	Q9P2M1
P98164	P98082
Q15543	P20226
Q92793	Q16236
Q92793	Q13569
P52333	P42229
Q9Y3E5	Q08117
P49454	P49454
Q99569	Q14574
Q99608	P53384
O43464	Q16539
Q9Y6W6	Q16539
Q96S59	P31151
Q05048	Q99728
O43543	O75771
Q6P1K2	Q16236
P46063	O00629
Q15303	P78352
Q15303	P46937
P49137	P29353
P78352	P63252
Q9HBG7	Q96CW1
P80217	Q13287
P51114	Q96F07
Q9Y618	Q05516
P49918	P53667
P54257	O14964
P53618	Q9Y678
Q9UM54	P98082
Q12830	P56270
Q9Y624	Q07157
Q86SQ9	P61916
O15085	O43157
Q9UMX3	Q16548
P62312	P62316
Q5T2W1	Q92887
Q9BY67	Q13368
Q9NZW5	P52888
Q99741	Q13416
Q13416	Q9UBU7
P26006	O00499
P36894	Q15427
Q76N89	O14640
P10244	Q969S3
Q9HB71	P63208
Q15910	O75530
Q07666	Q13702
O14807	Q12967
P54725	P55036
P10828	P62195
Q5T1R4	Q13077
Q9UBF6	Q93034
O00623	O60683
O00287	P48382
Q9UGK3	Q13882
Q8IU60	P20618
Q14005	O14974
P07998	P53365
Q8IUQ4	Q9HB71
P46934	P62837
Q9UNY4	Q14919
P50570	Q9Y566
P61296	Q92905
Q14493	Q8IV48
O15126	Q15811
Q8IUM7	O00327
Q9H6Z4	O14980
P61326	Q9Y5S9
Q9NPH3	Q9H0E2
Q96RI1	Q15788
P25205	O75419
P25205	Q9UBU7
P33992	O00311
O43741	P54619
Q9UNY4	Q99459
P53779	Q9UPT6
Q15654	Q9HBW0
Q9NWF9	O60602
O15431	O15431
Q9UBF6	Q13616
Q9UQ35	Q9H307
Q07820	Q92934
Q96RU3	O95271
O15392	Q96GD4
Q93038	Q15628
Q9UDY8	O95999
P56377	O43747
Q8IZH2	O75843
Q5T2W1	O43572
Q9UBF6	Q13617
P49758	Q9NPF5
Q9Y2L1	Q13105
Q9Y678	Q9UBF2
Q9UNY4	Q15025
O75716	Q9UJ70
Q9Y2A7	Q8IZP0
O14795	O15020
Q9UMX0	P07237
Q15633	Q15633
Q9UKK3	Q14764
Q5TD97	Q5TD97
O75530	Q92769
Q9Y5X1	Q13444
Q9H1J1	Q01629
P17081	Q9UPT5
P30039	Q9Y3F4
Q9H0D6	Q9H0E2
Q96BK5	Q96EZ8
Q96JZ2	Q07912
Q86WC4	Q9UGC6
O15116	Q9H270
O15116	Q5RKV6
O15116	Q9Y333
Q9Y333	P62310
P62310	Q9H0D6
Q9Y4Z0	Q8IZH2
O95777	Q5RKV6
O95777	Q9BV44
O43918	O43918
Q9H8V3	Q9NPB6
P42704	Q9Y5Z4
Q9UJY1	P04792
Q92890	Q8TAT6
Q9NQT4	P23246
Q99417	Q8TBZ2
P12931	P03891
Q9Y3C5	P42566
Q9UJ96	Q14721
Q92813	Q8TEY7
O15055	Q16526
P24864	Q13618
P42261	O43491
O15018	Q9UQB3
P50150	O14775
P63215	O14775
Q9NZW5	Q8N392
Q9NZW5	Q9Y5X1
Q9Y678	P61923
O77932	Q9H0D6
Q9UKY1	Q9H4I2
P49137	Q8IXK0
Q9UKY1	Q9UKY1
Q9GZT8	Q6I9Y2
Q9NZ52	Q99816
Q96KR7	P62136
Q13136	O15083
Q9P0L9	P19429
O94921	Q92599
Q86SG2	Q86TC9
Q99942	Q9Y613
P49842	P78395
P18615	Q8WX92
O95870	Q99942
O95870	Q9H0R3
P67870	P07948
P67870	P46777
P48634	P60228
P48634	Q16891
P48634	Q13099
Q6ZU52	Q9P209
Q12933	Q99618
P43364	Q8TBB1
Q9P2K6	Q8N6Y0
Q12933	P24278
Q9HAF1	Q969R5
Q9NX65	Q9NX65
P57060	O95257
P49888	Q8TC92
Q96HA1	Q9Y5P4
O15162	Q16630
P53567	P55198
Q15834	Q7Z3B3
Q99750	Q9NUU7
P61981	Q6ZU52
Q93062	Q86UW9
Q15645	O60269
P61457	Q6ZVK8
P46976	P13807
Q15274	Q9UMX1
Q9UPT5	Q6PJT7
P56597	Q8WWB3
Q5TAQ9	Q969Y2
O94989	Q9Y3A3
O95471	Q9BQY4
Q92934	P31947
Q13137	Q8N715
Q9Y620	Q8N5R6
O14641	P61457
Q15834	O75541
Q9NRF8	Q9NRF8
Q99750	Q9NRN7
Q13490	P43364
O75909	Q9Y3Q8
P24522	Q13561
Q9NX65	Q9NWS9
P04259	P19012
O60936	O60936
Q99750	O00144
P61978	Q8NE01
Q96E35	O75864
Q969U6	Q9BQ66
Q9UH92	P60520
Q15019	Q15038
O00167	Q96MA1
P08651	Q9BRT6
P51946	O60232
P19012	Q15154
Q9NVV9	Q86SE5
P51116	Q93062
P56545	Q9UIF8
Q9Y2I6	Q8NA61
Q8NHQ8	Q96NE9
O14641	Q9UNA4
Q12929	Q9UL45
Q15006	O43402
O14639	P08670
Q9BQD3	Q96LK0
O43765	P10451
P49366	Q9GZT8
Q9P2A4	Q96EV8
P62308	Q96D03
Q16799	Q8N612
Q9H0M0	Q14966
P78362	P26368
Q15834	Q96M91
O43597	Q9BSJ1
Q15654	Q9H5Z6
Q12933	Q9NVZ3
Q93062	Q96K80
P48380	Q12933
Q9UJY4	Q9NZD8
Q15038	Q8N1L9
O00505	Q9Y247
P22234	Q8TAP6
Q02040	Q15834
Q14847	O15162
Q9NZN8	O75175
P08670	Q9BVI4
P49407	O43298
Q06455	Q9P2A4
Q9NX63	Q9BQ66
Q07955	Q8TBB1
Q9P2K3	Q8NHQ1
Q9BUH8	Q8IV36
P98170	Q96HA8
Q9Y2W2	Q8WWV3
P51668	Q9HCM9
Q16630	Q9H0M0
P18206	Q9NYB9
Q13049	Q9UMX0
Q15038	O75886
O94972	P51116
P26992	Q92624
P08651	Q8WYQ9
Q01844	Q8NEH6
Q13526	Q5GAN4
Q9UPT5	Q9BQD3
Q969F0	Q96D59
Q8N5Z5	Q6NW29
Q08379	O14639
O75558	Q9Y6J9
Q15834	P35900
P43364	O94818
P38159	Q9BTL3
Q96BY2	Q7Z7J5
Q13191	Q9H8Y8
Q12929	Q15834
P21673	Q8IY81
P61457	P51116
Q5GAN4	Q96BS2
O94972	O95990
P19012	Q9BT92
P51116	Q9NVV9
Q9NS73	Q9NS73
O60232	Q96JP2
Q15645	Q15645
O60711	Q9BUY5
P36575	Q14749
Q8IYF3	Q96IQ9
P98170	Q96FJ2
Q99750	Q8IYX3
O43395	Q15834
P54652	Q9NZL4
Q15834	Q9BT78
Q96T60	Q9NP98
Q9UNF0	Q9UNF0
O75150	Q9BSJ1
P19012	Q53FD0
Q96ME1	Q9BQ66
Q8TC92	Q8TBB1
O15162	Q8WV24
Q01844	Q96CB9
Q96GA7	Q96GA7
Q9UMX1	Q8NEA6
Q96ED9	Q7L590
P33316	Q9UM82
Q7Z6G3	Q9BU64
O76003	O95544
P51116	Q9HAF1
Q15834	Q9BT49
P43364	Q6ZU52
O95967	Q8NEC5
P26599	P09012
Q9BQY4	Q86UW9
P19012	O95751
P40692	Q14134
Q92530	Q96ED9
Q13137	Q3YEC7
Q14088	Q9UI14
P63261	P63261
Q12933	Q8N9N5
Q8NEM2	Q96AP4
P61289	Q8TBK6
O75604	Q7L4P6
O75344	Q9Y5B8
Q12933	O43734
Q14566	Q9UBH0
P19012	Q8N6Y0
Q9UM19	Q86UW9
P19012	P05783
O95379	Q9NPJ6
Q96KQ7	Q5JSZ5
Q53G59	Q7Z614
Q14919	Q9NRF9
P18848	O95751
Q9UBL3	Q9C005
Q15834	Q8TAU3
O15287	Q06547
Q02040	Q9Y2I6
O14777	Q53G59
O95967	Q9HB75
Q15834	Q8NEF3
Q9BQY4	Q8TES7
O60711	Q96BD5
Q8TBN0	P62491
P09914	O14879
O96006	Q9HCN4
O60936	P78324
Q15645	Q9BSH5
Q15834	Q9NX63
Q15645	Q86YR5
P63279	Q13422
Q92624	Q96ES6
Q9C0A6	Q7Z7J5
Q01844	P43005
Q9P2Z0	Q9BQ66
Q01844	Q9BPW5
Q14749	Q9H8W4
Q12933	Q9UHB7
Q93062	Q3YEC7
O75525	Q8N5R6
Q9BQD3	Q8WYH8
O75791	Q93062
P43364	Q9Y2X8
Q8TAP4	Q8N187
Q15645	Q9BXL6
O60504	P38159
Q05516	O95751
Q12933	O15015
Q15834	Q9BUY5
Q9NWT6	Q96DX5
P25786	Q9Y3Q8
O14639	Q12933
Q9NQC3	Q9H8W4
P36406	Q15637
Q99750	P24278
P49910	P13994
O75909	O95967
P13805	Q96S99
Q9BQ66	Q96H86
Q9HCM9	Q9HAC8
Q9BUH8	Q8NEC5
O43791	Q7Z7J5
Q9BQ66	Q14781
Q15834	Q8N5R6
Q12933	Q5T124
Q8N7W2	O75864
Q01844	P62244
O95990	Q8N6Y0
Q99750	Q9H0I2
O75558	O75909
Q15834	Q8TBB1
Q16526	Q9BQ66
P35520	P51116
P49321	P68431
O75909	Q8HWS3
Q13137	Q8IZC7
Q8IYF3	Q9P218
O43889	Q92624
Q15078	Q9Y3Q8
P56545	Q9Y5P3
Q07002	Q15834
Q96CN9	Q8N6Y0
Q9UK33	Q9Y3Q8
O95985	Q9BQ66
P19012	Q8N715
Q99750	Q96LJ7
Q969X0	Q969X0
Q96CW1	Q13422
Q9Y2I6	Q92917
O94972	Q8TCX5
Q8NEF3	Q8N6V9
Q9H190	Q9NP64
Q99750	P84101
Q8IYF3	Q96M91
Q9UNT1	Q96LK0
P60896	Q5JVF3
Q9UKJ5	Q9BQ66
Q9UJY1	Q9UBY9
Q96JH8	Q9BQY4
Q15834	Q9H5V7
P15104	Q9H8W4
Q8N6Y0	Q969F0
P60228	Q9HC44
P43364	Q9GZM8
Q12933	Q9NRN7
Q9Y2I6	O60293
Q99750	Q96ES6
Q13137	P60520
P56545	Q99594
P48378	Q8HWS3
P12277	Q96DX5
Q9NP66	Q96A72
Q9BQ66	Q8IYX3
P49910	Q9NWS9
Q15102	Q15102
Q01844	P17096
O00161	Q9P2A4
O60504	Q5T5P2
Q12933	Q9BT49
Q13287	O14964
Q9Y580	Q15834
P0CG47	Q15038
Q99750	Q14296
Q96QG7	Q96QG7
Q9GZT8	Q96CG3
Q53G59	Q8TBB1
Q9Y4P9	Q9H8W4
Q15233	Q9Y6D9
Q15834	Q9Y247
P61978	Q9Y580
Q14872	Q9BXS5
Q9Y3Q8	Q96M95
P27658	Q53G59
Q13867	Q8WVZ9
Q15038	Q9H0E2
Q01844	Q8N6Q3
Q99750	Q96SK3
Q8NEU8	Q9UL26
Q15834	Q96BY2
P61289	Q7Z3B3
Q9UL45	Q9UL45
Q12933	O43298
P50402	O43889
Q01844	P62899
Q13137	Q9Y4E5
P09467	P51116
O60232	O75865
O94972	Q8N720
P17858	Q9BQ66
Q12933	O43597
O95201	Q15834
Q9BV20	Q9BV20
Q15233	Q9H8W4
Q12933	Q9UKG1
Q12933	Q9H8Y8
P07910	P07910
P43364	Q52LW3
Q03014	Q9BQ66
Q9NWT6	Q8WXK3
P19012	O75604
P45984	Q15427
O15162	Q9UHH9
Q9UBH0	Q9BWG4
Q01844	P54725
P08134	Q07960
O43617	Q9UL33
Q9UKW6	Q8N6T7
Q92997	Q53G59
O75525	Q6ZVK8
Q6ZU52	Q96ED9
P62263	Q16594
O95751	P15622
O76003	Q9BQ66
Q01844	P43364
Q15561	Q9GZV5
Q9UKI2	Q9UKI2
O95197	Q8N612
P28799	Q96AQ9
O60941	Q15834
Q15645	Q86UW9
Q9UBZ4	Q96ED9
O60568	Q96KQ7
Q9H190	Q7Z7J5
P13798	Q9GZZ9
Q9Y2X8	Q9HCM9
P38919	Q6PII3
Q9NVV9	Q9NVV9
P06753	Q9BQD3
Q96ED9	P15622
Q01844	Q96MA1
Q14296	Q93062
Q6ZN18	Q86SE5
Q9UGJ1	Q9NQG5
Q9UL45	Q8IYI6
