Q86TC9	P35609
P61204	P53365
P51693	O75553
P32121	Q12967
P20749	Q99728
P38398	P43246
P38398	Q99728
P06400	Q13948
Q13415	P49736
P27694	P49736
O43913	P49736
Q99708	P28749
P17936	P02452
P10599	P02452
P15336	Q13485
Q15311	P14635
P41240	P08069
Q14190	P27540
P81133	P27540
P12004	P24522
Q9Y4Y9	P62304
Q09472	P18146
Q14980	P11171
Q86YN6	P03372
Q8TDD1	P03372
P11168	P52292
P14672	Q9UER7
Q13002	O00560
Q13002	Q9NRD5
P39086	Q9NRD5
P39086	O00560
P49795	P08754
Q03933	P63279
P21781	P98160
P48634	O15460
P52272	P48634
P48634	Q10570
P48634	P47897
Q8IZH2	P46379
P42858	Q8IUH5
Q9NX55	P42858
P15923	P61296
P15923	Q02535
P62258	P08069
Q13895	P05787
P02545	Q9UHQ1
Q12982	P10415
Q16637	P10415
Q13625	P10415
P19838	P12980
Q15080	P12956
P13010	P12956
P49959	P12956
P45973	P12956
Q5VV63	P32245
Q13111	Q9UIS9
O75030	Q9Y6X2
P33993	P06400
P33993	O00311
P33993	Q9UBD5
P33993	O43913
Q04206	P01100
Q04206	Q8WUF5
Q14247	O43516
Q13573	P12755
Q9UGL1	P55316
O00159	P22681
Q02548	Q04727
P23467	Q5TCQ9
P31321	Q92667
P16591	P82094
P28482	P51955
Q09472	O75444
Q9Y5K6	P20338
Q15276	P20339
Q8TB24	P61020
O43924	P62834
P52306	P62834
P51587	Q06609
Q06609	Q96B01
P27694	Q13416
Q9NY61	P06400
P06400	Q96FV9
O60381	Q08999
P05386	P05387
P05387	P05387
Q15438	Q13795
P26885	Q9Y6D6
P17542	Q86XI2
O00213	Q12800
P37275	Q14919
Q13315	P00519
P52306	P01112
P13612	O75530
P18887	P49916
P23025	Q13156
P21333	O75962
Q96S59	P51784
O15530	P41743
Q16650	O14936
P62166	Q9NZN1
P42704	Q9UBK9
P51151	Q7Z6M1
Q9BZI7	Q96EZ8
O60220	Q92783
O60828	P83876
Q06787	P63279
P10398	P00966
P09884	P29558
P10275	P49116
P10275	Q9Y6Q9
P10275	Q9NQU5
Q96S59	P10275
P10275	Q96PM5
Q8IY57	P25490
Q9H9E1	P98164
P98164	Q15700
Q9NNX1	Q9UBB9
Q5VU43	Q08499
Q92793	P41235
Q10567	O43747
Q04724	Q9Y261
Q12929	O14640
O95985	P49454
Q9UMS0	P54198
Q16513	Q12923
P54253	P38432
Q96RK4	Q15154
O15116	P28074
P33240	P53999
O60682	Q02363
Q02363	Q99081
Q92968	P50542
P53365	P62330
Q9NZJ5	Q16236
P16333	P54762
P46063	P52292
Q15303	Q15700
O75925	P42224
P25815	P25815
P26599	P14866
P49810	Q9Y2W7
P53667	Q13873
Q16739	Q16799
P50454	Q9NRR5
P53618	Q9UBF2
Q9NPI6	Q13485
Q16548	Q92934
P62310	P62318
O95777	P62314
Q9Y6W6	P45983
Q6UVK1	Q9C0E4
O43294	Q14289
Q9UMX0	P42345
P63104	P56945
P98161	P49802
O75807	Q99933
P54253	Q9NRR5
P54253	P39687
Q92963	Q12967
Q9BWF2	Q13077
Q02447	P49842
Q14566	Q14566
Q5T1R4	Q12933
Q13415	O00311
Q92843	O43521
Q8NF50	P07998
P07998	P52306
O75410	O95619
O14744	P54105
Q8IUQ4	Q14807
P50570	Q9UPX8
Q13867	P63279
Q8WWN9	Q99418
P48552	P51843
O00161	O95295
Q08379	Q9H8Y8
Q9UHC3	Q96QZ7
Q9HAU5	P60842
Q99729	Q9H3D4
P25205	P33992
P25205	O43913
Q09472	Q99967
Q9Y478	P54619
Q9Y478	Q9UGJ0
Q99666	Q92973
P10828	Q9H0E9
Q15424	Q14151
P56282	O00422
Q9NWF9	O15455
Q16629	O75319
O75319	Q13242
Q14511	P84022
Q9UER7	Q96EZ8
P53602	O14981
O15360	P51532
Q14155	Q9UPX8
Q9UK45	Q9UKX3
P61966	O75843
O95985	Q9HCK8
Q14526	Q14526
Q5T2W1	Q9H015
O94992	O60583
Q13895	Q12815
Q9NZW5	O75821
Q9Y6A5	Q99996
Q00722	Q96QT4
O15085	O15031
Q9UNY4	Q8WUM4
Q9UNY4	Q9H078
P48048	O14745
Q14155	Q9Y566
Q15075	Q9UL26
O94763	Q9NPF5
Q969H4	Q9NS23
Q07820	Q9UMX3
Q9UDY6	Q9UDY6
Q9BY11	Q9UKS6
Q9BY11	Q9BY11
O94829	P26367
Q9NQ66	Q96QT4
Q86WC4	O76081
O15116	O75113
Q9Y333	O95777
P62312	Q96EZ8
Q9UK45	Q5RKV6
O95777	Q9NPI6
P42704	Q9BXF3
Q8IZH2	P48643
O60506	Q06124
P10276	Q96F24
Q96RU7	P18848
P10828	Q15596
Q96F24	P10828
Q99684	Q9Y6X2
Q96RS0	O75530
P02795	Q15139
Q13976	P16066
P63279	Q12873
O15534	Q16526
O00327	Q16526
Q00613	Q92797
O60941	Q12840
P33991	O00311
Q99708	P61968
P26885	O43491
Q9H0F7	O75915
Q5RKV6	Q15024
Q9NZW5	Q9Y448
Q8NF91	Q8NF91
Q9UNL4	Q04206
Q96NW7	Q8WXI2
Q9UHC3	Q9HAP6
Q8TDR4	Q14582
Q92730	Q5T124
O00311	Q9UBU7
Q9H0F7	Q8N6S5
O94906	Q9NX01
O15083	O75335
Q8NEZ2	Q9UK41
Q59H18	P19429
Q15543	Q12962
Q9UKI8	Q9NVP2
Q7Z5G4	Q08378
P49842	Q07864
P49842	Q99808
O95870	Q9BVK8
O95870	Q96KC8
P67870	P19784
P67870	P67870
P67870	O95243
O95670	P36543
Q9BQY4	Q96PV6
P43364	Q9BQP7
P19012	Q7L590
Q13137	Q96S44
O60238	Q9P104
Q15834	P15622
Q01844	Q9NRG1
Q14134	Q9BSW2
Q9H213	Q96BY2
P32321	Q8TBB1
Q12933	Q96EK7
P98175	Q9UKA9
P35520	Q9NP79
Q9Y6E0	Q9BUL8
O14964	Q9UPT5
Q9NWS9	Q9H4T2
Q01844	Q9NYG2
P21673	Q96I25
Q93062	Q96SI9
Q9HC98	Q15834
Q03426	Q03426
P50995	O15162
O95751	Q8TBB1
Q13137	Q53FD0
P08670	Q9BT92
P49639	Q99750
P19012	Q96GM5
Q9NZ81	Q53G59
Q8WUB8	Q969R5
Q99750	O43299
Q9NRX4	Q9UJW3
P36406	P36406
Q9NTM9	Q8TBB1
P61457	P61457
O43663	Q8N6Y0
Q9NRG1	Q9GZT8
P15531	Q96HA8
P40426	Q6RW13
Q53G59	Q53G59
Q6ZU52	O60504
Q9UKG1	Q8NEU8
Q16526	O15162
P17509	P21673
Q96HA8	Q9H773
Q9BT49	Q96LR2
P12236	O15162
Q9UNK0	Q9UEU0
P51116	Q8WVF5
P60709	Q9Y281
Q15038	Q15038
P43364	Q8IXB1
P63279	Q8NDC0
O60568	Q15834
O94972	Q9H5Z6
Q9UL46	Q9UL46
O43739	Q969H4
Q13137	Q8TBB1
O75909	Q7Z6G3
O95751	Q96PV7
Q01844	O00160
P08670	Q9GZT8
P49639	O15162
Q9UL45	Q96BD8
O95751	Q9UGP5
P60709	P60709
P49910	Q15834
Q96EZ8	Q9BQD3
Q9BRG1	Q9BQY4
Q9NS73	Q96MT8
Q6UY14	Q6UY11
O14641	Q8N5R6
Q96MT8	Q8N6Y0
P04637	Q96M61
Q03154	Q99614
P49902	Q6ZVK8
P08651	Q96J77
Q8TAP4	Q86SE5
Q96GM5	Q15834
P25786	Q7Z6G3
O15162	Q9UQ90
O96015	Q96FJ2
O95199	Q9BT78
P12236	Q9BQ66
Q13501	P60520
O94972	Q9UBZ4
Q9Y6D9	Q8IYF3
Q99598	O95257
Q99750	Q02040
